id,date,type,amount,category,notes,targetRevenue,targetProfit,taxAmount,month,year,isTaxDeductible
e8f5b21a-7771-476e-beb5-71447bfdbc41,2022-07-30,Pengeluaran,600000,Lain-lain,Karangan Bunga IPPNU Pusat,100000000,80000000,0,7,2022,
8ce3e4c8-153a-404a-996b-f5a14cdcaf69,2022-10-24,Pengeluaran,800000,Transport Akomodasi,Transport Akomodasi,100000000,80000000,0,10,2022,
c23efdc9-ab68-4af8-b66e-9a75e4ec5c9b,2022-07-30,Pengeluaran,100000,Gaji karyawan, Fee Asisten,100000000,80000000,0,7,2022,
d2014fca-1469-48af-841b-901ed3e56a2d,2022-10-24,Pemasukan,15000000,Training Fee,Event BRI Sorong,100000000,80000000,0,10,2022,
eab24412-6235-4578-beb5-96b2f6520f53,2022-07-30,Pemasukan,5000000,Training Fee,Event Kangen Water Bandung,100000000,80000000,0,7,2022,
adfadfd0-dc9f-4e34-84bf-ad81b2b99457,2022-07-29,Pengeluaran,2000000,Associate Trainer,Fee Associate Dinas PUPR,100000000,80000000,0,7,2022,
50b167fa-ec9c-43d9-a59f-2ae87125cd26,2022-10-16,Pengeluaran,500000,Gaji karyawan,Fee Team Marse,100000000,80000000,0,10,2022,
6dbb563e-626f-438a-926d-6f07a1aeccc0,2022-10-16,Pengeluaran,700000,Lain-lain,Tas Laptop,100000000,80000000,0,10,2022,
5f94eba6-f634-4f45-bb5b-9b59c96ee0a9,2022-04-30,Pengeluaran,96187,Zakat,Zakat Penghasilan,100000000,80000000,0,4,2022,
69ecf3fa-8c5c-4bb5-9e57-154677cda1e6,2022-10-16,Pengeluaran,1577000,Cicilan,Kredit KUR,100000000,80000000,0,10,2022,
76fe9c35-925f-4326-ae29-a2f316aa8f45,2022-04-20,Pengeluaran,15000000,Lain-lain,Ramadhan Berbagi,100000000,80000000,0,4,2022,
7e210ecb-d4d9-4bd4-817f-e6d0a032e9af,2022-04-13,Pengeluaran,455000,Wifi,Wifi,100000000,80000000,0,4,2022,
f71c531f-1716-494c-95cb-186d4cfee517,2022-07-29,Pemasukan,3200000,Training Fee,Dinas PUPR Pangandaran,100000000,80000000,0,7,2022,
bd9630c3-8614-4582-ab46-10d4b1325201,2022-11-16,Pengeluaran,1577000,Cicilan,Kredit KUR,100000000,80000000,0,11,2022,
fc8905d4-ee49-4123-a37f-bf4a63fe3899,2022-04-06,Pengeluaran,150000,Gaji karyawan,Fee Asisten Trainer,100000000,80000000,0,4,2022,
680ce116-62c1-44dc-96e7-382749cb2b46,2022-04-02,Pengeluaran,205000,BPJS Kesehatan,BPJS Kesehatan,100000000,80000000,0,4,2022,
2626a999-e770-4806-9540-98079ce9dd54,2022-10-16,Pengeluaran,4770000,Cicilan,Sewa Kantor,100000000,80000000,0,10,2022,
2abb2989-e1b9-42f0-955f-011377218808,2022-07-18,Pengeluaran,500000,Gaji karyawan,Fee Team Freelance,100000000,80000000,0,7,2022,
54498dfb-97fe-456a-9f0c-bdbb72bbdc50,2022-07-15,Pengeluaran,1800000,Transport Akomodasi,Transport Akomodasi,100000000,80000000,0,7,2022,
598ff64f-29ec-4f82-9f9e-680d2b2335f9,2022-11-16,Pengeluaran,4770000,Cicilan,Sewa Kantor,100000000,80000000,0,11,2022,
37fae581-e034-43a2-8331-e7e4b7556b42,2022-07-14,Pengeluaran,365000,Wifi,Wifi,100000000,80000000,0,7,2022,
3f9d115b-05ea-401c-87c6-e040477e1fc8,2022-10-16,Pengeluaran,200000,Listrik,Listrik,100000000,80000000,0,10,2022,
72c35bd5-413a-4b7f-9087-5e4c1b1d082c,2022-11-16,Pengeluaran,200000,Listrik,Listrik,100000000,80000000,0,11,2022,
d54c58a5-60a6-4b69-9015-554238d3ad77,2022-07-14,Pemasukan,4000000,Training Fee,Kemenpora RI Jember,100000000,80000000,0,7,2022,
67419c97-96a3-476b-a4c9-10d7191218d8,2022-10-16,Pengeluaran,380000,Sampah dan Air,Air dan Sampah,100000000,80000000,0,10,2022,
87392c93-33ee-4c3f-93f0-67345eda4103,2022-07-13,Pengeluaran,1500000,Pendidikan,Tagihan Pendidikan,100000000,80000000,0,7,2022,
fe6d21b4-464a-43e2-99ab-ff860e2e3896,2022-11-16,Pengeluaran,380000,Sampah dan Air,Air dan Sampah,100000000,80000000,0,11,2022,
b1116317-b6ea-4cb4-aa6c-9ece6ec150d3,2022-07-12,Pengeluaran,2000000,Transport Akomodasi,Transport Akomodasi Jawa Timur,100000000,80000000,0,7,2022,
7228080e-1bbd-4ab5-8d5f-df2bbf1fc09f,2022-07-08,Pengeluaran,300000,Listrik,Listrik,100000000,80000000,0,7,2022,
1fef0767-7d3b-460a-a7c2-2a719f694482,2022-10-16,Pengeluaran,800000,Transport Akomodasi,Transport Akomodasi Bogor,100000000,80000000,0,10,2022,
aa75a5f6-f64f-4a2c-a0ad-9e8f8ca112b2,2022-07-08,Pengeluaran,405000,Sampah dan Air,Air,100000000,80000000,0,7,2022,
93f70cff-af9b-4e56-9e55-8dc8fd917924,2022-10-16,Pengeluaran,1000000,Marketing,Fee Marketing,100000000,80000000,0,10,2022,
1b98e2fa-63d8-4b3c-b0d3-e1cdfb4dc043,2022-07-05,Pengeluaran,300000,Transport Akomodasi,Transport Akomodasi,100000000,80000000,0,7,2022,
cd952b00-9caf-4b57-85bf-01e2134c0b0d,2022-07-05,Pengeluaran,100000,Gaji karyawan,Fee Asisten,100000000,80000000,0,7,2022,
3d8f3291-4b02-460b-9ac6-afaa28954695,2022-10-16,Pemasukan,6700000,Training Fee,Event FK Unhas Bogor,100000000,80000000,0,10,2022,
311fa81c-5dda-46d2-a097-ffce6f42a6e0,2022-07-05,Pemasukan,7200000,Training Fee,DJP Kanwil Jakarta Timur,100000000,80000000,0,7,2022,
a2168201-cca5-4873-9de4-d62fd879201b,2022-07-04,Pengeluaran,5000000,Cicilan,DP Pembangunan Kantor,100000000,80000000,0,7,2022,
d77b69eb-e9ec-45f6-91b9-a2845fbcab96,2022-07-04,Pengeluaran,205000,BPJS Kesehatan,BPJS Kesehatan ,100000000,80000000,0,7,2022,
d45d3c41-5977-4f3e-9e8c-2ca79e0f9f67,2022-07-02,Pengeluaran,600000,Sampah dan Air,Tagihan Sampah ,100000000,80000000,0,7,2022,
afbe3e7a-4f35-4d8b-8e20-c9a21868d39f,2022-07-01,Pengeluaran,4000000,Lain-lain,Kebutuhan lainnya ,100000000,80000000,0,7,2022,
2c32a909-b22d-49aa-a5b9-f60ca641f19e,2022-10-14,Pengeluaran,500000,Lain-lain,Uang Saku Bandung Bojonegoro,100000000,80000000,0,10,2022,
59f0a93b-6a30-4c8c-82b8-b385ae70b8e6,2022-10-14,Pengeluaran,200000,Lain-lain,Makan Bandung Bojonegoro,100000000,80000000,0,10,2022,
5a468816-95a0-4726-848b-c5512a9885d6,2022-10-06,Pengeluaran,500000,Transport Akomodasi,Transport Akomodasi,100000000,80000000,0,10,2022,
256df443-b685-424e-abf8-534f9cf83b56,2022-10-06,Pemasukan,5500000,Training Fee,Event DPR RI,100000000,80000000,0,10,2022,
7eb7dd4d-ec3b-495d-b03a-4fc9e136b024,2022-10-01,Pengeluaran,1500000,Transport Akomodasi,Transportasi Akomodasi,100000000,80000000,0,10,2022,
5a6a5e5a-2327-492b-b72c-606c6e9b6122,2022-10-01,Pemasukan,9000000,Training Fee,Event SMKN 6 Batam,100000000,80000000,0,10,2022,
6966cc43-3fa0-4ea1-856c-248a6662a8f3,2022-12-31,Pengeluaran,1200000,Lain-lain,Cleaning Service,100000000,80000000,0,12,2022,
